timestep,consumer_id,name,row_type,funnel_stage,active,selected_bank,selected_bank_name,offered_rate,approved_amount,drop_reason,loan_episode,joined_timestep,left_timestep,closed_timestep,successful_loans,reentry_reason
1,C001,Anna Müller,snapshot,lead,True,,,,,,,,,,0,
1,C002,Lukas Schneider,snapshot,lead,True,,,,,,,,,,0,
1,C003,Sophie Weber,snapshot,lead,True,,,,,,,,,,0,
1,C004,Max Fischer,snapshot,lead,True,,,,,,,,,,0,
1,C005,Elena García,snapshot,lead,True,,,,,,,,,,0,
1,C006,Thomas Becker,snapshot,lead,True,,,,,,,,,,0,
1,C007,Mia Hoffmann,snapshot,lead,True,,,,,,,,,,0,
1,C008,Jonas Wagner,snapshot,lead,True,,,,,,,,,,0,
1,C009,Laura Schmidt,snapshot,lead,True,,,,,,,,,,0,
1,C010,Nico Bauer,snapshot,lead,True,,,,,,,,,,0,
1,C011,Hannah Krause,snapshot,lead,True,,,,,,,,,,0,
1,C012,Omar Yilmaz,snapshot,lead,True,,,,,,,,,,0,
1,C013,Klara Neumann,snapshot,lead,True,,,,,,,,,,0,
1,C014,Felix Richter,snapshot,lead,True,,,,,,,,,,0,
1,C015,Dynamic Consumer C015,snapshot,lead,True,,,,,,,1,,,0,
2,C001,Anna Müller,snapshot,lead,True,,,,,,,,,,0,
2,C002,Lukas Schneider,snapshot,lead,True,,,,,,,,,,0,
2,C003,Sophie Weber,snapshot,lead,True,,,,,,,,,,0,
2,C004,Max Fischer,snapshot,lead,True,,,,,,,,,,0,
2,C005,Elena García,snapshot,lead,True,,,,,,,,,,0,
2,C006,Thomas Becker,snapshot,lead,True,,,,,,,,,,0,
2,C007,Mia Hoffmann,snapshot,lead,True,,,,,,,,,,0,
2,C008,Jonas Wagner,snapshot,lead,True,,,,,,,,,,0,
2,C009,Laura Schmidt,snapshot,lead,True,,,,,,,,,,0,
2,C010,Nico Bauer,snapshot,lead,True,,,,,,,,,,0,
2,C011,Hannah Krause,snapshot,lead,True,,,,,,,,,,0,
2,C012,Omar Yilmaz,snapshot,lead,True,,,,,,,,,,0,
2,C013,Klara Neumann,snapshot,lead,True,,,,,,,,,,0,
2,C014,Felix Richter,snapshot,lead,True,,,,,,,,,,0,
2,C015,Dynamic Consumer C015,snapshot,lead,True,,,,,,,1,,,0,
2,C016,Dynamic Consumer C016,snapshot,lead,True,,,,,,,2,,,0,
